iter	Passed	Remaining
425	1837	2475
426	1840	2469
427	1844	2465
428	1849	2461
429	1853	2457
430	1858	2453
431	1863	2449
432	1867	2445
433	1870	2439
434	1874	2434
435	1877	2428
436	1880	2422
437	1884	2417
438	1887	2412
439	1891	2407
440	1894	2402
441	1898	2396
442	1902	2392
443	1906	2387
444	1909	2381
445	1913	2376
446	1916	2371
447	1920	2366
448	1923	2360
449	1926	2355
450	1930	2350
451	1934	2344
452	1937	2339
453	1941	2334
454	1945	2329
455	1948	2324
456	1951	2319
457	1955	2313
458	1959	2309
459	1963	2304
460	1966	2299
461	1971	2295
462	1974	2290
463	1978	2285
464	1981	2280
465	1985	2274
466	1988	2269
467	1991	2264
468	1996	2260
469	2001	2257
470	2006	2253
471	2010	2249
472	2014	2244
473	2030	2252
474	2039	2254
475	2049	2256
476	2061	2259
477	2074	2265
478	2083	2266
479	2089	2263
480	2096	2262
481	2099	2256
482	2103	2251
483	2107	2246
484	2110	2240
485	2113	2235
486	2117	2230
487	2120	2225
488	2124	2219
489	2127	2214
490	2130	2208
491	2134	2203
492	2137	2198
493	2141	2193
494	2144	2188
495	2148	2182
496	2151	2177
497	2155	2173
498	2159	2168
499	2163	2163
500	2167	2158
501	2171	2154
502	2174	2148
503	2183	2148
504	2196	2152
505	2204	2152
506	2214	2153
507	2225	2155
508	2232	2153
509	2236	2149
510	2246	2149
511	2254	2148
512	2264	2149
513	2272	2148
514	2277	2145
515	2285	2143
516	2295	2144
517	2299	2140
518	2305	2136
519	2312	2134
520	2322	2135
521	2332	2135
522	2340	2134
523	2351	2136
524	2364	2138
525	2376	2141
526	2382	2138
527	2389	2136
528	2398	2135
529	2405	2132
530	2409	2128
531	2416	2125
532	2420	2120
533	2425	2116
534	2429	2111
535	2434	2107
536	2438	2102
537	2442	2097
538	2446	2092
539	2449	2086
540	2453	2081
541	2456	2076
542	2460	2070
543	2464	2065
544	2469	2061
545	2472	2056
546	2476	2050
547	2479	2045
548	2483	2039
549	2486	2034
550	2489	2028
551	2493	2023
552	2496	2017
553	2499	2012
554	2503	2007
555	2507	2002
556	2510	1997
557	2514	1991
